City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,port lincoln,-34.7333,135.8667,65.88,53,100,20.87,AU,1668726826
220,honiara,-9.4333,159.95,83.64,78,86,4.32,SB,1668726827
221,farafangana,-22.8167,47.8333,73.24,89,97,8.37,MG,1668726827
222,tonj,7.2737,28.6822,76.69,37,5,3.62,SS,1668726828
223,taoudenni,22.6783,-3.9836,74.88,14,0,8.43,ML,1668726828
224,simbahan,6.3032,120.5836,82.09,79,99,9.86,PH,1668726829
225,ballina,-28.8667,153.5667,69.01,66,3,6.08,AU,1668726829
226,lavrentiya,65.5833,-171.0,34.84,98,100,23.87,RU,1668726830
227,sambava,-14.2667,50.1667,72.32,91,32,3.15,MG,1668726746
228,khasan,42.4308,130.6434,42.69,69,24,7.81,RU,1668726830
229,bathsheba,13.2167,-59.5167,81.21,78,20,18.41,BB,1668726831
230,chinhoyi,-17.3667,30.2,71.4,42,16,5.08,ZW,1668726831
231,lorengau,-2.0226,147.2712,84.36,67,100,7.2,PG,1668726832
232,poum,-20.2333,164.0167,78.15,73,88,12.33,NC,1668726832
233,ewa beach,21.3156,-158.0072,85.84,61,0,12.66,US,1668726546
234,adeje,28.1227,-16.726,67.3,87,0,8.05,ES,1668726656
235,souillac,-20.5167,57.5167,69.39,63,2,3.65,MU,1668726833
236,kaitangata,-46.2817,169.8464,57.2,78,100,4.85,NZ,1668726767
237,beyneu,45.3167,55.2,41.14,66,100,14.27,KZ,1668726834
238,lompoc,34.6391,-120.4579,73.78,48,0,13.8,US,1668726834
239,muskegon,43.3,-86.1334,33.89,84,100,16.11,US,1668726570
240,fuente de oro,3.4594,-73.6128,73.31,94,67,3.09,CO,1668726835
241,praya,14.9215,-23.5087,77.54,73,20,8.05,CV,1668726835
242,sampit,-2.5333,112.95,74.28,97,100,4.43,ID,1668726836
243,nkhotakota,-12.9274,34.2961,77.04,62,0,3.85,MW,1668726837
244,mazamari,-11.3258,-74.5308,77.97,68,77,1.03,PE,1668726837
245,havoysund,70.9963,24.6622,39.43,81,58,8.01,NO,1668726837
246,vesoul,47.5833,5.8333,49.08,94,100,11.95,FR,1668726838
247,skjervoy,70.0311,20.9714,30.2,43,57,7.92,NO,1668726838
248,colotlan,22.1,-103.2667,76.05,27,3,11.74,MX,1668726839
249,nanortalik,60.1432,-45.2371,22.19,78,86,9.26,GL,1668726839
250,lichinga,-13.3128,35.2406,64.74,77,28,3.33,MZ,1668726840
251,uvelskiy,54.4446,61.3574,9.05,90,61,5.48,RU,1668726588
252,vestmanna,62.1564,-7.1664,45.52,81,75,28.77,FO,1668726840
253,saint george,37.1041,-113.5841,56.43,26,0,3.0,US,1668726841
254,esperance,-33.8667,121.9,57.7,70,66,14.36,AU,1668726817
255,manokwari,-0.8667,134.0833,81.19,78,100,5.7,ID,1668726841
256,teya,60.3778,92.6267,-20.67,100,71,4.07,RU,1668726767
257,basco,20.4487,121.9702,81.21,80,53,18.25,PH,1668726842
258,chacabuco,-34.6417,-60.4739,85.82,40,77,12.08,AR,1668726843
259,sur,22.5667,59.5289,74.41,70,4,7.72,OM,1668726843
260,saint-joseph,-21.3667,55.6167,68.38,72,14,4.63,RE,1668726844
261,marfino,55.7028,37.3822,26.17,79,75,13.42,RU,1668726844
262,ranong,9.9658,98.6348,76.14,89,100,1.79,TH,1668726845
263,freetown,8.484,-13.2299,78.89,80,100,5.3,SL,1668726845
